m_client_name;m_timestamp;s_speed_x;s_speed_y;s_speed_z;s_rpm;s_gear;s_angle;s_z;s_damage;s_track_position;s_race_position;s_distance_raced;s_distance_from_start;s_current_laptime;s_last_laptime;s_plus5_degrees2caraxis;s_parallel2caraxis;s_min5_degrees2caraxis;a_acceleration;a_brake;a_gear;a_steer;a_clutch
scr-client-cpp;1716557052;13.688700;-0.221633;-0.015325;1457;1;-0.037222;0.350012;0.000000;0.000549;1;5380.529785;180.410995;7.379990;194.490005;12.743700;11.673000;10.698300;0.000000;0.018865;1;-0.102305;0.000000
scr-client-cpp;1716557052;13.585900;-0.254403;-0.015481;1457;1;-0.042426;0.349868;0.000000;0.000885;1;5380.600098;180.485992;7.399990;194.490005;12.675600;11.610400;10.641500;0.000000;0.002725;1;-0.116961;0.000000
scr-client-cpp;1716557052;13.508000;-0.289339;-0.015912;1483;1;-0.047450;0.349716;0.000000;0.001252;1;5380.680176;180.561996;7.419990;194.490005;12.610100;11.550000;10.586700;0.003354;0.000000;1;-0.131169;0.000000
scr-client-cpp;1716557052;13.492500;-0.320591;-0.016261;1502;1;-0.052295;0.349556;0.000000;0.001650;1;5380.750000;180.636993;7.439990;194.490005;12.546800;11.491800;10.533900;0.000000;0.021603;1;-0.144930;0.000000
scr-client-cpp;1716557052;13.469800;-0.358066;-0.016753;1459;1;-0.057002;0.349388;0.000000;0.002089;1;5380.830078;180.712006;7.459990;194.490005;12.485400;11.435300;10.482600;0.000000;0.041691;1;-0.158373;0.000000
scr-client-cpp;1716557052;13.343700;-0.377916;-0.017344;1404;1;-0.061553;0.349211;0.000000;0.002560;1;5380.899902;180.787003;7.479990;194.490005;12.426000;11.380700;10.433000;0.000000;0.009439;1;-0.171432;0.000000
scr-client-cpp;1716557052;13.355500;-0.416288;-0.018184;1436;1;-0.065944;0.349025;0.000000;0.003055;1;5380.979980;180.860992;7.499990;194.490005;12.368700;11.328000;10.385200;0.000000;0.044826;1;-0.184088;0.000000
scr-client-cpp;1716557052;13.263700;-0.443523;-0.018769;1378;1;-0.070175;0.348828;0.000000;0.003589;1;5381.049805;180.934006;7.519990;194.490005;12.313500;11.277100;10.339000;0.000000;0.026659;1;-0.196359;0.000000
scr-client-cpp;1716557052;13.183200;-0.467076;-0.019418;1386;1;-0.074277;0.348624;0.000000;0.004146;1;5381.120117;181.007004;7.539990;194.490005;12.259800;11.227800;10.294300;0.000000;0.014572;1;-0.208311;0.000000
scr-client-cpp;1716557052;13.122800;-0.495542;-0.019847;1403;1;-0.078209;0.348413;0.000000;0.004724;1;5381.200195;181.080002;7.559990;194.490005;12.208400;11.180400;10.251300;0.000000;0.010161;1;-0.219829;0.000000
scr-client-cpp;1716557052;13.067900;-0.518920;-0.020162;1414;1;-0.082011;0.348197;0.000000;0.005321;1;5381.270020;181.151993;7.579990;194.490005;12.158600;11.134600;10.209700;0.000000;0.008376;1;-0.231015;0.000000
scr-client-cpp;1716557052;12.967600;-0.534184;-0.020262;1419;1;-0.085687;0.347972;0.000000;0.005953;1;5381.339844;181.223999;7.599990;194.490005;12.110400;11.090200;10.169300;0.017321;0.000000;1;-0.241908;0.000000
scr-client-cpp;1716557052;12.929300;-0.560340;-0.020386;1451;1;-0.089253;0.347744;0.000000;0.006606;1;5381.410156;181.296005;7.619990;194.490005;12.063500;11.047100;10.130100;0.012124;0.000000;1;-0.252528;0.000000
scr-client-cpp;1716557052;12.958800;-0.582777;-0.008565;1467;1;-0.092701;0.347542;0.000000;0.007273;1;5381.479980;181.367996;7.639990;194.490005;12.018100;11.005300;10.092200;0.000000;0.025765;1;-0.262843;0.000000
scr-client-cpp;1716557052;12.927600;-0.606234;0.007350;1400;1;-0.096042;0.347425;0.000000;0.007961;1;5381.560059;181.440002;7.659990;194.490005;11.974000;10.964700;10.055300;0.000000;0.032657;1;-0.272897;0.000000
scr-client-cpp;1716557052;12.830100;-0.620756;0.019733;1357;1;-0.099275;0.347380;0.000000;0.008680;1;5381.629883;181.511002;7.679990;194.490005;11.931200;10.925300;10.019400;0.000000;0.005774;1;-0.282700;0.000000
scr-client-cpp;1716557052;12.815100;-0.649025;0.027866;1384;1;-0.102392;0.347387;0.000000;0.009418;1;5381.700195;181.582001;7.699990;194.490005;11.889800;10.887200;9.984660;0.000000;0.019474;1;-0.292211;0.000000
scr-client-cpp;1716557052;12.732400;-0.662974;0.031996;1369;1;-0.105382;0.347426;0.000000;0.010165;1;5381.770020;181.651993;7.719990;194.490005;11.850000;10.850400;9.951220;0.002437;0.000000;1;-0.301389;0.000000
scr-client-cpp;1716557052;12.657900;-0.681736;0.033386;1398;1;-0.108289;0.347478;0.000000;0.010918;1;5381.839844;181.723007;7.739990;194.490005;11.811200;10.814700;9.918660;0.019771;0.000000;1;-0.310347;0.000000
scr-client-cpp;1716557052;12.649200;-0.694001;0.033446;1432;1;-0.111085;0.347529;0.000000;0.011688;1;5381.910156;181.792999;7.759990;194.490005;11.773800;10.780200;9.887180;0.005416;0.000000;1;-0.319026;0.000000
scr-client-cpp;1716557052;12.689900;-0.718939;0.033015;1426;1;-0.113831;0.347575;0.000000;0.012491;1;5381.979980;181.863007;7.779990;194.490005;11.736800;10.746100;9.856100;0.000000;0.033605;1;-0.327613;0.000000
scr-client-cpp;1716557052;12.611000;-0.729125;0.031984;1355;1;-0.116486;0.347613;0.000000;0.013304;1;5382.049805;181.932999;7.799990;194.490005;11.701000;10.713000;9.825890;0.000000;0.011662;1;-0.335966;0.000000
scr-client-cpp;1716557052;12.587600;-0.752754;0.030272;1359;1;-0.119044;0.347642;0.000000;0.014128;1;5382.120117;182.001999;7.819990;194.490005;11.666300;10.680900;9.796640;0.000000;0.016825;1;-0.344069;0.000000
scr-client-cpp;1716557052;12.512500;-0.763297;0.028931;1351;1;-0.121496;0.347661;0.000000;0.014964;1;5382.189941;182.070999;7.839990;194.490005;11.632800;10.650000;9.768410;0.003947;0.000000;1;-0.351900;0.000000
scr-client-cpp;1716557052;12.448100;-0.778156;0.027991;1379;1;-0.123885;0.347671;0.000000;0.015810;1;5382.259766;182.139999;7.859990;194.490005;11.600200;10.619800;9.740780;0.020530;0.000000;1;-0.359573;0.000000
scr-client-cpp;1716557052;12.433300;-0.786626;0.027792;1412;1;-0.126167;0.347672;0.000000;0.016679;1;5382.330078;182.209000;7.879990;194.490005;11.568700;10.590700;9.714100;0.012401;0.000000;1;-0.366984;0.000000
