,s_speed_x,s_speed_y,s_angle,s_track_position,a_brake,a_gear,a_steer
204,63.5396,-0.062233,-0.013465,-0.016797,0.0,2,-0.013822
205,64.1231,-0.065312,-0.012819,-0.015857,0.0,2,-0.013342
206,64.712196,-0.065973,-0.012144,-0.014954,0.0,2,-0.012732
207,65.306702,-0.06421,-0.011461,-0.014081,0.0,2,-0.01206
208,65.764,-0.052824,-0.01076,-0.013275,0.0,2,-0.011247
209,66.276703,-0.025752,-0.009977,-0.01247,0.0,2,-0.010211
210,67.000198,0.001981,-0.009154,-0.0117,0.0,2,-0.009015
211,67.778999,0.01936,-0.008362,-0.010962,0.0,2,-0.007861
212,68.446899,0.016052,-0.007707,-0.010272,0.0,2,-0.007014
213,69.070999,0.006094,-0.007197,-0.009631,0.0,2,-0.006497
214,69.694504,-0.003385,-0.006777,-0.009027,0.0,2,-0.006175
215,70.318604,-0.010623,-0.006406,-0.008484,0.0,2,-0.005904
216,70.943901,-0.015224,-0.006061,-0.007947,0.0,2,-0.005696
217,71.571198,-0.01772,-0.00573,-0.007465,0.0,2,-0.005452
218,72.200897,-0.01846,-0.00541,-0.006995,0.0,2,-0.005217
219,72.833099,-0.018056,-0.005097,-0.006537,0.0,2,-0.00499
220,73.468597,-0.01697,-0.004794,-0.006134,0.0,2,-0.004711
221,74.107399,-0.015352,-0.0045,-0.005731,0.0,2,-0.004459
222,74.75,-0.012436,-0.004222,-0.005328,0.0,2,-0.004251
223,75.395302,-0.01029,-0.003967,-0.00498,0.0,2,-0.00403
224,76.044197,-0.009112,-0.003726,-0.004645,0.0,2,-0.003831
225,76.6968,-0.008397,-0.003494,-0.004309,0.0,2,-0.003653
226,77.352798,-0.007801,-0.003266,-0.003979,0.0,2,-0.003481
227,78.012398,-0.00709,-0.003043,-0.003711,0.0,2,-0.003239
228,78.619202,-0.003308,-0.002817,-0.003442,0.0,3,-0.002989
229,78.821198,-0.002345,-0.002598,-0.003174,0.0,3,-0.002758
230,78.807701,-0.003426,-0.002403,-0.00293,0.0,3,-0.002559
231,78.7948,-0.004354,-0.002223,-0.002728,0.0,3,-0.002343
232,78.781799,-0.004764,-0.002056,-0.002527,0.0,3,-0.002162
233,78.768799,-0.004906,-0.001901,-0.002325,0.0,3,-0.002015
234,78.755798,-0.004953,-0.001758,-0.002142,0.0,3,-0.001874
235,78.742699,-0.004885,-0.001625,-0.002008,0.0,3,-0.001695
236,79.080597,-0.004032,-0.001502,-0.001874,0.0,3,-0.001541
237,79.4842,-0.003276,-0.001389,-0.001739,0.0,3,-0.001416
238,79.887901,-0.00286,-0.001287,-0.001605,0.0,3,-0.001322
239,80.291801,-0.002703,-0.001195,-0.001471,0.0,3,-0.004299
240,80.6968,-0.011631,-0.001057,-0.001367,0.0,3,-0.001463
241,81.102898,-0.005957,-0.000912,-0.0013,0.0,3,-0.000649
242,81.510696,-0.001082,-0.000814,-0.001233,0.0,3,-0.000357
243,81.920403,0.001314,-0.000755,-0.001166,0.0,3,-0.000244
244,82.332298,0.001994,-0.000719,-0.001099,0.0,3,-0.000198
245,82.7239,0.001961,-0.000696,-0.001031,0.0,3,-0.00018
246,83.149902,0.001817,-0.000678,-0.000964,0.0,3,-0.000169
247,83.574898,0.00147,-0.000663,-0.000897,0.0,3,-0.000163
248,83.996803,0.001068,-0.000649,-0.00083,0.0,3,-0.00016
249,84.418602,0.0007,-0.000638,-0.000763,0.0,3,-0.000158
250,84.8405,0.000398,-0.000627,-0.000696,0.0,3,-0.000157
251,85.262802,0.000171,-0.000616,-0.000629,0.0,3,-0.000157
252,85.685699,1.1e-05,-0.000606,-0.000562,0.0,3,-0.000156
253,86.109398,-9.5e-05,-0.000596,-0.000494,0.0,3,-0.000156
254,86.534103,-0.000159,-0.000586,-0.000427,0.0,3,-0.000155
255,86.9599,-0.000193,-0.000575,-0.00036,0.0,3,-0.000155
256,87.387001,-0.000206,-0.000565,-0.000293,0.0,3,-0.000155
257,87.816101,-0.000145,-0.000555,-0.000226,0.0,3,-0.000154
258,88.246902,-0.00013,-0.000545,-0.000159,0.0,3,-0.000154
259,88.679802,-0.000137,-0.000536,-9.2e-05,0.0,3,-0.000154
260,89.114899,-0.000148,-0.000526,-2.4e-05,0.0,3,-0.000154
261,89.547798,-0.000149,-0.000516,4.3e-05,0.0,3,-0.000154
262,89.973801,-2.4e-05,-0.000505,0.00011,0.0,3,-0.000153
263,90.425003,7.4e-05,-0.000494,0.000177,0.0,3,-0.000152
264,90.871803,0.000123,-0.000483,0.000244,0.0,3,-0.000152
265,91.317596,0.000134,-0.000471,0.000311,0.0,3,-0.000151
266,91.763397,0.000122,-0.000461,0.000378,0.0,3,-0.000151
267,92.209503,0.0001,-0.00045,0.000446,0.0,3,-0.00015
268,92.655998,7.8e-05,-0.000439,0.000513,0.0,3,-0.00015
269,93.103302,6.2e-05,-0.000429,0.00058,0.0,3,-0.00015
270,93.551598,5.8e-05,-0.000418,0.000647,0.0,3,-0.000149
271,94.000999,6.3e-05,-0.000408,0.000714,0.0,3,-0.000149
272,94.452301,0.000116,-0.000397,0.000781,0.0,3,-0.000149
273,94.9049,0.000162,-0.000387,0.000848,0.0,3,-0.000149
274,95.359703,0.000168,-0.000378,0.000916,0.0,3,-0.000148
275,95.816597,0.00016,-0.000368,0.000983,0.0,3,-0.000148
276,96.2752,0.000157,-0.000358,0.00105,0.0,3,-0.000148
277,96.715202,0.000279,-0.000347,0.001117,0.0,3,-0.000148
278,97.187401,0.000396,-0.000335,0.001184,0.0,3,-0.000147
279,97.6549,0.000463,-0.000324,0.001251,0.0,3,-0.000147
280,98.120697,0.000488,-0.000312,0.001318,0.0,3,-0.000146
281,98.585999,0.000486,-0.000301,0.001385,0.0,3,-0.000146
282,99.051102,0.000465,-0.00029,0.001453,0.0,3,-0.000146
283,99.516197,0.000442,-0.000279,0.00152,0.0,3,-0.000145
284,99.981499,0.000426,-0.000269,0.001575,0.0,3,-0.000144
285,100.446999,0.000421,-0.000258,0.001575,0.0,3,-0.000139
286,100.914001,0.000446,-0.000247,0.001575,0.0,3,-0.000135
287,101.382004,0.000522,-0.000237,0.001575,0.0,3,-0.000131
288,101.850998,0.000538,-0.000228,0.001575,0.0,3,-0.000127
289,102.321999,0.000533,-0.000219,0.001575,0.0,3,-0.000123
290,102.793999,0.000522,-0.00021,0.001575,0.0,3,-0.000119
291,103.248001,0.000611,-0.0002,0.001575,0.0,3,-0.000116
292,103.734001,0.000717,-0.000191,0.001575,0.0,3,-0.000112
293,104.216003,0.000777,-0.000181,0.001575,0.0,3,-0.000109
294,104.695,0.000793,-0.000172,0.001575,0.0,3,-0.000106
295,105.175003,0.00078,-0.000163,0.001575,0.0,3,-0.000103
296,105.653999,0.00075,-0.000154,0.001575,0.0,3,-0.0001
297,106.133003,0.000713,-0.000146,0.001575,0.0,3,-9.7e-05
298,106.612999,0.000681,-0.000138,0.001575,0.0,3,-9.5e-05
299,107.093002,0.000655,-0.000131,0.001575,0.0,3,-9.2e-05
300,107.573997,0.000667,-0.000123,0.001575,0.0,3,-9e-05
301,108.056,0.000661,-0.000117,0.001575,0.0,3,-8.8e-05
302,108.539001,0.000637,-0.00011,0.001575,0.0,3,-8.6e-05
303,109.024002,0.00061,-0.000104,0.001575,0.0,3,-8.4e-05
304,109.489998,0.000637,-9.7e-05,0.001575,0.0,4,-8.2e-05
305,109.619003,0.000652,-9e-05,0.001575,0.0,4,-8.1e-05
306,109.606003,0.00063,-8.4e-05,0.001575,0.0,4,-8e-05
307,109.592003,0.000606,-7.7e-05,0.001575,0.0,4,-8e-05
308,109.578003,0.00059,-7e-05,0.001575,0.0,4,-7.9e-05
309,109.563004,0.000579,-6.3e-05,0.001575,0.0,4,-7.8e-05
310,109.549004,0.000571,-5.6e-05,0.001575,0.0,4,-7.8e-05
311,109.535004,0.000564,-4.9e-05,0.001575,0.0,4,-7.7e-05
312,109.803001,0.00058,-4.2e-05,0.001575,0.0,4,-7.6e-05
313,110.134003,0.00062,-3.6e-05,0.001575,0.0,4,-7.5e-05
314,110.464996,0.000623,-2.9e-05,0.001575,0.0,4,-7.3e-05
315,110.795998,0.000598,-2.4e-05,0.001575,0.0,4,-7.2e-05
316,111.127998,0.000562,-1.8e-05,0.001575,0.0,4,-7.1e-05
317,111.453003,0.000569,-1.2e-05,0.001575,0.0,4,-6.9e-05
318,111.790001,0.000584,-7e-06,0.001575,0.0,4,-6.8e-05
319,112.125,0.000589,-1e-06,0.001575,0.0,4,-6.7e-05
320,112.459999,0.000585,5e-06,0.001575,0.0,4,-6.6e-05
321,112.794998,0.000575,1e-05,0.001575,0.0,4,-6.5e-05
322,113.130997,0.000562,1.6e-05,0.001575,0.0,4,-6.4e-05
323,113.466003,0.000548,2.1e-05,0.001575,0.0,4,-6.2e-05
324,113.802002,0.000536,2.6e-05,0.001575,0.0,4,-6.1e-05
325,114.138,0.000533,3.1e-05,0.001575,0.0,4,-6e-05
326,114.474998,0.000539,3.6e-05,0.001575,0.0,4,-5.9e-05
327,114.813004,0.000529,4.1e-05,0.001575,0.0,4,-5.8e-05
328,115.151001,0.000516,4.6e-05,0.001575,0.0,4,-5.8e-05
329,115.482002,0.00052,5e-05,0.001575,0.0,4,-5.7e-05
330,115.825996,0.000548,5.5e-05,0.001575,0.0,4,-5.6e-05
331,116.169998,0.00057,6e-05,0.001575,0.0,4,-5.5e-05
332,116.512001,0.00058,6.5e-05,0.001575,0.0,4,-5.4e-05
333,116.853996,0.00058,7e-05,0.001575,0.0,4,-5.3e-05
334,117.196999,0.000574,7.4e-05,0.001575,0.0,4,-5.2e-05
335,117.540001,0.000564,7.9e-05,0.001575,0.0,4,-5.2e-05
336,117.883003,0.000554,8.3e-05,0.001575,0.0,4,-5.1e-05
337,118.225998,0.000546,8.7e-05,0.001575,0.0,4,-5e-05
338,118.57,0.000545,9.2e-05,0.001575,0.0,4,-4.9e-05
339,118.914001,0.000535,9.6e-05,0.001575,0.0,4,-4.9e-05
340,119.260002,0.000524,0.0001,0.001575,0.0,4,-4.8e-05
341,119.599998,0.000525,0.000104,0.001575,0.0,4,-4.7e-05
342,119.948997,0.000544,0.000108,0.001575,0.0,4,-4.6e-05
343,120.297997,0.000559,0.000112,0.001575,0.0,4,-4.6e-05
344,120.647003,0.000567,0.000116,0.001575,0.0,4,-4.5e-05
345,120.996002,0.000566,0.00012,0.001575,0.0,4,-4.4e-05
346,121.345001,0.000561,0.000124,0.001575,0.0,4,-4.4e-05
347,121.694,0.000555,0.000128,0.001575,0.0,4,-4.3e-05
348,122.042999,0.000547,0.000131,0.001575,0.0,4,-4.3e-05
349,122.392998,0.000545,0.000135,0.001575,0.0,4,-4.2e-05
350,122.744003,0.00054,0.000139,0.001575,0.0,4,-4.1e-05
351,123.094002,0.000533,0.000142,0.001575,0.0,4,-4.1e-05
352,123.445999,0.000528,0.000146,0.001575,0.0,4,-4e-05
353,123.793999,0.000534,0.000149,0.001575,0.0,4,-4e-05
354,124.147003,0.000543,0.000153,0.001575,0.0,4,-3.9e-05
355,124.5,0.000549,0.000156,0.001575,0.0,4,-3.9e-05
356,124.852997,0.000551,0.00016,0.001575,0.0,4,-3.8e-05
357,125.206001,0.000551,0.000163,0.001575,0.0,4,-3.8e-05
358,125.558998,0.000548,0.000166,0.001575,0.0,4,-3.7e-05
359,125.912003,0.000543,0.00017,0.001575,0.0,4,-3.7e-05
360,126.265999,0.00054,0.000173,0.001575,0.0,4,-3.6e-05
361,126.619003,0.000538,0.000176,0.001575,0.0,4,-3.6e-05
362,126.973,0.000533,0.000179,0.001575,0.0,4,-3.5e-05
363,127.327003,0.00053,0.000182,0.001575,0.0,4,-3.5e-05
364,127.68,0.00053,0.000185,0.001575,0.0,4,-3.4e-05
365,128.035004,0.000534,0.000189,0.001575,0.0,4,-3.4e-05
366,128.389999,0.000537,0.000192,0.001575,0.0,4,-3.4e-05
367,128.744995,0.000538,0.000195,0.001575,0.0,4,-3.3e-05
368,129.100998,0.000537,0.000198,0.001575,0.0,4,-3.3e-05
369,129.455994,0.000536,0.000201,0.001575,0.0,4,-3.2e-05
370,129.811996,0.000535,0.000203,0.001575,0.0,4,-3.2e-05
371,130.167999,0.000532,0.000206,0.001575,0.0,4,-3.2e-05
372,130.524002,0.000529,0.000209,0.001575,0.0,4,-3.1e-05
373,130.880005,0.000529,0.000212,0.001575,0.0,4,-3.1e-05
374,131.235992,0.000528,0.000215,0.001544,0.0,4,-3e-05
375,131.593994,0.000531,0.000218,0.001477,0.0,4,-2.8e-05
376,131.949997,0.000533,0.00022,0.00141,0.0,4,-2.5e-05
377,132.307007,0.000532,0.000223,0.001343,0.0,4,-2.3e-05
378,132.664001,0.000527,0.000225,0.001276,0.0,4,-2.1e-05
379,133.020996,0.000516,0.000227,0.001209,0.0,4,-1.9e-05
380,133.378998,0.0005,0.000229,0.001141,0.0,4,-1.7e-05
381,133.737,0.00048,0.000231,0.001074,0.0,4,-1.6e-05
382,134.093994,0.000455,0.000233,0.001007,0.0,4,-1.4e-05
383,134.453003,0.000431,0.000234,0.00094,0.0,4,-1.2e-05
384,134.811005,0.000407,0.000235,0.000873,0.0,4,-1e-05
385,135.171005,0.000379,0.000237,0.000806,0.0,4,-8e-06
386,135.529007,0.000346,0.000237,0.000739,0.0,4,-6e-06
387,135.886993,0.000313,0.000238,0.000671,0.0,4,-5e-06
388,136.244995,0.00028,0.000239,0.000604,0.0,4,-3e-06
389,136.602997,0.000248,0.000239,0.000537,0.0,4,-1e-06
390,136.960999,0.000218,0.00024,0.00047,0.0,4,0.0
391,137.320999,0.000188,0.00024,0.000403,0.0,4,2e-06
392,137.679993,0.000151,0.00024,0.000336,0.0,4,3e-06
393,138.039993,-7e-06,0.000239,0.000269,0.0,4,5e-06
394,138.399994,-0.000231,0.000238,0.000201,0.0,4,6e-06
395,138.759003,-0.000474,0.000237,0.000134,0.0,4,8e-06
396,139.119003,-0.000593,0.000237,6.7e-05,0.0,4,9e-06
397,139.481003,-0.000894,0.000236,0.0,1.0,4,1.1e-05
398,138.042007,-0.001956,0.00023,-6.7e-05,0.0,4,1.2e-05
399,136.490997,-0.00536,0.000203,-0.000134,1.0,4,1.3e-05
400,134.701996,-0.005656,0.000202,-0.000201,0.0,4,1.5e-05
401,133.238007,-0.006173,0.0002,-0.000269,1.0,4,1.7e-05
402,131.546005,-0.004691,0.00021,-0.000336,0.0,4,2e-05
403,130.102005,-0.008357,0.000186,-0.000403,1.0,4,2.1e-05
404,128.425995,-0.008039,0.000184,-0.00047,0.0,4,2.4e-05
405,126.959999,-0.013992,0.000142,-0.000537,1.0,4,2.4e-05
406,125.32,-0.01195,0.000148,-0.000604,0.0,4,2.7e-05
407,123.827003,-0.017367,0.000109,-0.000671,1.0,4,2.8e-05
408,122.205002,-0.013002,0.000141,-0.000739,0.0,4,3.3e-05
409,120.708,-0.015596,0.000126,-0.000806,1.0,4,3.5e-05
410,119.101997,-0.012481,0.000157,-0.000873,0.0,4,4.1e-05
411,117.601997,-0.015699,0.000142,-0.00094,1.0,4,4.4e-05
412,116.008003,-0.013448,0.000172,-0.001007,0.0,4,5.1e-05
413,114.505997,-0.017188,0.000155,-0.001074,1.0,4,5.5e-05
414,112.863998,-0.01619,0.000175,-0.001141,0.0,4,6.2e-05
415,111.441002,-0.021569,0.000143,-0.001209,1.0,4,6.5e-05
416,109.819,-0.020417,0.00016,-0.001276,0.0,4,7.3e-05
417,108.345001,-0.026655,0.000119,-0.001343,1.0,4,7.6e-05
418,106.726997,-0.023765,0.000153,-0.00141,0.0,4,8.8e-05
419,105.268997,-0.029108,0.000113,-0.001477,1.0,4,9.2e-05
420,103.691002,-0.024965,0.000169,-0.001544,0.0,4,0.000108
421,102.227997,-0.029239,0.000145,-0.001605,1.0,4,0.000116
422,100.814003,-0.026238,0.000202,-0.001666,0.0,4,0.000136
423,99.427902,-0.028787,0.0002,-0.001727,1.0,4,0.000149
424,98.070198,-0.02722,0.000243,-0.001788,0.0,4,0.000172
425,96.658798,-0.031555,0.000225,-0.001849,1.0,4,0.000188
426,95.299599,-0.030381,0.000268,-0.00191,0.0,4,0.000218
427,93.893799,-0.034566,0.00025,-0.001971,1.0,4,0.000243
428,92.468498,-0.033774,0.000285,-0.002032,0.0,4,0.000285
429,91.1726,-0.036101,0.000274,-0.002094,1.0,4,0.000323
430,89.748398,-0.038478,0.000263,-0.002155,0.0,4,0.000375
431,88.384201,-0.044282,0.000213,-0.002216,1.0,4,0.00043
432,87.026802,-0.043022,0.000239,-0.002277,0.0,4,0.000535
433,85.630203,-0.046917,0.000202,-0.002338,1.0,4,0.000664
434,84.221703,-0.044639,0.000231,-0.002399,0.0,4,0.000924
435,82.890602,-0.046762,0.000191,-0.00246,1.0,4,0.001342
436,81.5158,-0.043826,0.000223,-0.002521,0.0,3,0.002671
437,80.150803,-0.044823,0.000178,-0.002582,1.0,3,0.026576
438,78.823196,-0.013321,-9.9e-05,-0.002594,0.0,3,0.003267
439,77.451202,-0.039765,-0.000471,-0.002594,1.0,3,0.002253
440,76.138298,-0.05642,-0.000689,-0.002594,0.0,3,0.00166
441,74.753998,-0.070002,-0.000913,-0.002594,1.0,3,0.001048
442,73.446999,-0.075797,-0.001016,-0.002594,0.0,3,0.000768
443,72.060097,-0.081449,-0.001142,-0.002594,1.0,3,0.000422
444,70.754601,-0.081285,-0.001168,-0.002594,0.0,3,0.000351
445,69.335602,-0.083007,-0.00123,-0.002594,1.0,3,0.000182
446,68.019897,-0.0805,-0.001212,-0.002594,0.0,3,0.000232
447,66.581001,-0.080182,-0.001238,-0.002594,1.0,3,0.00016
448,65.173203,-0.076354,-0.001208,-0.002594,0.0,2,0.000244
449,63.9417,-0.072775,-0.001219,-0.002594,1.0,2,0.000213
450,62.549702,-0.075454,-0.001272,-0.002594,0.0,2,6.8e-05
451,61.185902,-0.077823,-0.001338,-0.002594,1.0,2,-0.000112
452,59.8927,-0.074066,-0.001267,-0.002594,0.0,2,8.3e-05
453,58.503502,-0.073626,-0.001256,-0.002594,1.0,2,0.000112
454,57.202301,-0.071492,-0.001205,-0.002594,0.0,2,0.000251
455,55.8251,-0.070249,-0.0012,-0.002594,1.0,2,0.000266
456,54.441799,-0.066179,-0.001129,-0.002594,0.0,2,0.000457
457,53.083,-0.064121,-0.001105,-0.002594,1.0,2,0.000523
458,51.7328,-0.06173,-0.001025,-0.002594,0.0,2,0.000741
459,50.3172,-0.062444,-0.000999,-0.002594,0.999999,2,0.000814
460,49.017399,-0.061117,-0.00092,-0.002594,0.0,2,0.001029
461,47.569,-0.062389,-0.00089,-0.002594,0.999995,2,0.001111
462,46.286598,-0.061784,-0.000816,-0.002594,0.0,1,0.001312
463,44.824501,-0.062849,-0.000785,-0.002643,0.999943,1,0.001464
464,43.5592,-0.062652,-0.000731,-0.002661,0.0,1,0.001635
465,42.153599,-0.063361,-0.000725,-0.002722,0.999444,1,0.001734
466,40.886299,-0.062576,-0.000667,-0.002777,0.0,1,0.001969
467,39.4958,-0.062449,-0.00066,-0.002838,0.99452,1,0.002071
468,38.227798,-0.061635,-0.000604,-0.002899,0.0,1,0.002307
469,36.900299,-0.059731,-0.000597,-0.00296,0.949216,1,0.00241
470,35.6539,-0.060373,-0.000571,-0.003021,0.0,1,0.002562
471,34.3936,-0.055613,-0.000557,-0.003082,0.624647,1,0.002686
472,33.184101,-0.052468,-0.000596,-0.003143,0.0,1,0.002663
473,32.5741,-0.035624,-0.000655,-0.003174,0.0,1,0.002542
474,32.571301,-0.021313,-0.000722,-0.003174,0.038469,1,0.002359
475,32.445801,-0.015461,-0.000778,-0.003174,0.047244,1,0.002206
476,32.298599,-0.014787,-0.000876,-0.003174,0.043946,1,0.001941
477,32.1297,-0.017022,-0.000906,-0.003174,0.031726,1,0.001858
478,31.9925,-0.015175,-0.000986,-0.003174,0.032838,1,0.001639
479,31.8643,-0.017833,-0.001032,-0.003174,0.040331,1,0.001513
480,31.6891,-0.018051,-0.001078,-0.003174,0.024412,1,0.001389
481,31.541201,-0.018651,-0.001144,-0.003174,0.021491,1,0.001209
482,31.421301,-0.018828,-0.001165,-0.003174,0.03322,1,0.001151
483,31.292101,-0.020143,-0.001239,-0.003174,0.039025,1,0.00095
484,31.153099,-0.022199,-0.001251,-0.003174,0.04186,1,0.000917
485,31.034201,-0.020523,-0.001295,-0.003174,0.053501,1,0.000798
486,30.854099,-0.022711,-0.001341,-0.003174,0.034585,1,0.000672
487,30.717899,-0.022983,-0.001347,-0.003174,0.038212,1,0.000655
488,30.563601,-0.023193,-0.001412,-0.003174,0.031583,1,0.000477
489,30.3971,-0.024591,-0.001421,-0.003174,0.01948,1,0.000453
490,30.287901,-0.024123,-0.001453,-0.003174,0.036013,1,0.000364
491,30.125099,-0.026331,-0.001488,-0.003174,0.025147,1,0.000269
492,30.004499,-0.025004,-0.001499,-0.003174,0.036007,1,0.00024
493,29.8964,-0.025578,-0.001545,-0.003174,0.052488,1,0.000115
494,29.7243,-0.028149,-0.001532,-0.003174,0.037626,1,0.00015
495,29.6001,-0.025248,-0.001574,-0.003174,0.04545,1,3.4e-05
496,29.4538,-0.02754,-0.001586,-0.003174,0.042859,1,4e-06
497,29.2883,-0.026905,-0.001593,-0.003174,0.030683,1,-1.6e-05
498,29.1348,-0.028661,-0.001618,-0.003174,0.023264,1,-8.5e-05
499,29.001301,-0.028338,-0.001632,-0.003174,0.027073,1,-0.000123
500,28.865601,-0.029827,-0.001656,-0.003174,0.028565,1,-0.000189
501,28.746,-0.028823,-0.001671,-0.003174,0.038703,1,-0.000229
502,28.616199,-0.030468,-0.001688,-0.003174,0.043134,1,-0.000275
503,28.4834,-0.028638,-0.001694,-0.003174,0.046053,1,-0.000293
504,28.3454,-0.028693,-0.001721,-0.003174,0.045767,1,-0.000367
505,28.2015,-0.03061,-0.001701,-0.003174,0.043764,1,-0.000312
506,28.034201,-0.029583,-0.001746,-0.003174,0.028225,1,-0.000433
507,27.8871,-0.030656,-0.001729,-0.003174,0.023378,1,-0.000387
508,27.755699,-0.029357,-0.001764,-0.003174,0.026401,1,-0.000482
509,27.6252,-0.030092,-0.001747,-0.003174,0.029834,1,-0.000436
510,27.51,-0.029751,-0.001777,-0.003174,0.040316,1,-0.00052
511,27.384501,-0.030981,-0.001755,-0.003174,0.046229,1,-0.000459
512,27.252899,-0.029645,-0.001798,-0.003174,0.047315,1,-0.000575
513,27.121799,-0.032033,-0.001771,-0.003174,0.050411,1,-0.000504
514,26.962099,-0.030149,-0.001813,-0.003174,0.037437,1,-0.000616
515,26.8214,-0.031882,-0.001791,-0.003174,0.035121,1,-0.000558
516,26.6721,-0.030971,-0.001832,-0.003174,0.026721,1,-0.000667
517,26.5319,-0.032752,-0.001811,-0.003174,0.023413,1,-0.000612
518,26.415899,-0.032329,-0.001851,-0.003174,0.031626,1,-0.000721
519,26.2964,-0.033136,-0.001833,-0.003174,0.039283,1,-0.000672
520,26.1777,-0.032586,-0.001876,-0.003174,0.04552,1,-0.000788
521,26.049101,-0.034508,-0.001848,-0.003174,0.047982,1,-0.000712
522,25.927099,-0.032051,-0.001894,-0.003174,0.052567,1,-0.000837
523,25.768101,-0.034269,-0.001867,-0.003174,0.039212,1,-0.000764
524,25.6313,-0.032776,-0.001907,-0.003174,0.035764,1,-0.000872
525,25.488001,-0.034298,-0.001882,-0.003174,0.030227,1,-0.000805
526,25.341499,-0.033656,-0.001924,-0.003174,0.021306,1,-0.000919
527,25.230101,-0.034803,-0.001902,-0.003174,0.030493,1,-0.000859
528,25.1164,-0.034843,-0.001942,-0.003174,0.03794,1,-0.00097
529,24.999201,-0.035027,-0.001921,-0.003174,0.044782,1,-0.00091
530,24.881599,-0.033517,-0.001965,-0.003174,0.050275,1,-0.001032
531,24.752899,-0.035849,-0.001934,-0.003174,0.05015,1,-0.000947
532,24.6173,-0.033587,-0.001978,-0.003174,0.046016,1,-0.001067
533,24.464001,-0.035705,-0.001951,-0.003174,0.033566,1,-0.000993
534,24.341999,-0.034551,-0.00199,-0.003174,0.035588,1,-0.001099
535,24.180201,-0.035962,-0.001966,-0.003174,0.018253,1,-0.001034
536,24.080299,-0.035291,-0.002008,-0.003174,0.030698,1,-0.00115
537,23.9533,-0.035308,-0.001988,-0.003174,0.030731,1,-0.001094
538,23.8629,-0.035503,-0.002032,-0.003174,0.04788,1,-0.001213
539,23.7404,-0.037554,-0.002003,-0.003174,0.049542,1,-0.001135
540,23.6098,-0.034475,-0.002048,-0.003174,0.045985,1,-0.001258
541,23.5005,-0.03715,-0.002017,-0.003174,0.053583,1,-0.001174
542,23.3391,-0.034485,-0.002059,-0.003174,0.034625,1,-0.001289
543,23.215799,-0.036359,-0.002034,-0.003174,0.034586,1,-0.001219
544,23.084101,-0.035335,-0.002079,-0.003174,0.029792,1,-0.001344
545,22.9396,-0.036954,-0.002052,-0.003174,0.018553,1,-0.00127
546,22.8419,-0.036607,-0.002098,-0.003174,0.030722,1,-0.001393
547,22.730499,-0.037145,-0.00207,-0.003174,0.035995,1,-0.001319
548,22.625601,-0.037098,-0.002115,-0.003174,0.043936,1,-0.00144
549,22.5116,-0.038851,-0.002079,-0.003174,0.047263,1,-0.001344
550,22.397301,-0.035881,-0.002127,-0.003174,0.050474,1,-0.001474
551,22.2665,-0.038253,-0.002095,-0.003174,0.044774,1,-0.001386
552,22.1213,-0.035401,-0.002138,-0.003174,0.031922,1,-0.001502
553,22.0086,-0.037208,-0.002113,-0.003174,0.034609,1,-0.001435
554,21.863701,-0.036002,-0.002162,-0.003174,0.021259,1,-0.001569
555,21.743299,-0.038041,-0.002131,-0.003174,0.020074,1,-0.001484
556,21.641399,-0.03794,-0.002176,-0.003174,0.02759,1,-0.001607
557,21.552299,-0.038275,-0.00215,-0.003174,0.042013,1,-0.001536
558,21.4517,-0.036265,-0.002187,-0.003174,0.050122,1,-0.001636
559,21.309799,-0.039616,-0.002144,-0.003174,0.037534,1,-0.00152
560,21.224701,-0.036399,-0.002197,-0.003174,0.052745,1,-0.001665
561,21.0863,-0.039278,-0.002163,-0.003174,0.041269,1,-0.00157
562,20.9494,-0.03602,-0.002204,-0.003174,0.029982,1,-0.001684
563,20.843,-0.03792,-0.002179,-0.003174,0.033832,1,-0.001615
564,20.709101,-0.036616,-0.002227,-0.003174,0.023986,1,-0.001746
565,20.579399,-0.038446,-0.002196,-0.003174,0.015568,1,-0.001662
566,20.4872,-0.038103,-0.002242,-0.003174,0.025934,1,-0.001787
567,20.4028,-0.038589,-0.002217,-0.003174,0.040697,1,-0.001718
568,20.300301,-0.037671,-0.002263,-0.003174,0.045304,1,-0.001844
569,20.176701,-0.040495,-0.002227,-0.003174,0.039277,1,-0.001746
570,20.0854,-0.036981,-0.002274,-0.003174,0.0494,1,-0.001873
571,19.9718,-0.039892,-0.002241,-0.003174,0.047724,1,-0.001785
572,19.8295,-0.036675,-0.002282,-0.003174,0.031747,1,-0.001895
